completed_at,ticker,feature_set,model_type,window_size,hidden_size,learning_rate,dropout,max_epochs,patience,seed,best_epoch,stopped_epoch,best_val_loss,best_val_RMSE,best_val_MAE,best_val_MAPE,test_loss,test_RMSE,test_MAE,test_MAPE,train_samples,validation_samples,test_samples,input_shape,device,best_model_path,output_dir
2026-03-27T19:02:54,MSFT,baseline,lstm,20,32,0.001,0.2,500,20,42,354,374,73.23374884469169,8.60421085357666,6.688931465148926,2.197326421737671,16303.402818467885,124.73596954345705,112.54139709472656,24.824874877929688,1948,216,548,"[20, 5]",cuda:0,_local/runs/grid_search_runs/20260327_190139_MSFT_baseline_lstm_w20_d0p2/best_model.pt,_local/runs/grid_search_runs/20260327_190139_MSFT_baseline_lstm_w20_d0p2
2026-03-27T19:04:20,MSFT,baseline,lstm,20,32,0.001,0.4,500,20,42,413,433,100.56403187343052,10.082816123962402,7.871681690216064,2.5416100025177,17722.031127929688,130.35946655273438,118.96977996826172,26.32462310791016,1948,216,548,"[20, 5]",cuda:0,_local/runs/grid_search_runs/20260327_190254_MSFT_baseline_lstm_w20_d0p4/best_model.pt,_local/runs/grid_search_runs/20260327_190254_MSFT_baseline_lstm_w20_d0p4
2026-03-27T19:13:36,MSFT,baseline,lstm,20,64,0.0005,0.0,500,20,42,359,379,47.06765910557338,6.812099933624268,5.233255863189697,1.7676711082458496,13841.99572075738,115.68543243408205,101.7877197265625,22.330724716186523,1948,216,548,"[20, 5]",cuda:0,_local/runs/grid_search_runs/20260327_191222_MSFT_baseline_lstm_w20_d0p0/best_model.pt,_local/runs/grid_search_runs/20260327_191222_MSFT_baseline_lstm_w20_d0p0
2026-03-27T19:14:56,MSFT,baseline,lstm,20,64,0.0005,0.2,500,20,42,384,404,59.238499232700896,7.706160545349121,6.069468021392822,2.02030873298645,13657.782206217447,114.221923828125,102.80121612548828,22.658357620239254,1948,216,548,"[20, 5]",cuda:0,_local/runs/grid_search_runs/20260327_191336_MSFT_baseline_lstm_w20_d0p2/best_model.pt,_local/runs/grid_search_runs/20260327_191336_MSFT_baseline_lstm_w20_d0p2
2026-03-27T19:16:12,MSFT,baseline,lstm,20,64,0.0005,0.4,500,20,42,384,404,95.25844519478936,9.838249206542969,7.667769908905029,2.510931491851806,18197.45005967882,132.2210235595703,121.21330261230467,26.85923957824707,1948,216,548,"[20, 5]",cuda:0,_local/runs/grid_search_runs/20260327_191456_MSFT_baseline_lstm_w20_d0p4/best_model.pt,_local/runs/grid_search_runs/20260327_191456_MSFT_baseline_lstm_w20_d0p4
2026-03-27T19:10:21,MSFT,baseline,lstm,20,64,0.001,0.0,500,20,42,331,351,34.18652016775949,5.854147911071777,4.629858493804932,1.5741596221923828,10898.639553493924,101.9831771850586,89.4900131225586,19.595792770385746,1948,216,548,"[20, 5]",cuda:0,_local/runs/grid_search_runs/20260327_190916_MSFT_baseline_lstm_w20_d0p0/best_model.pt,_local/runs/grid_search_runs/20260327_190916_MSFT_baseline_lstm_w20_d0p0
2026-03-27T19:11:23,MSFT,baseline,lstm,20,64,0.001,0.2,500,20,42,284,304,44.65452493940081,6.671488285064697,5.324320316314697,1.788193941116333,11494.79656982422,104.92569732666016,94.49188995361328,20.827341079711918,1948,216,548,"[20, 5]",cuda:0,_local/runs/grid_search_runs/20260327_191021_MSFT_baseline_lstm_w20_d0p2/best_model.pt,_local/runs/grid_search_runs/20260327_191021_MSFT_baseline_lstm_w20_d0p2
2026-03-27T19:12:22,MSFT,baseline,lstm,20,64,0.001,0.4,500,20,42,277,297,65.6968743460519,8.14936637878418,6.396734714508057,2.103224515914917,15233.184780544703,121.07470703125,109.7860336303711,24.24755859375,1948,216,548,"[20, 5]",cuda:0,_local/runs/grid_search_runs/20260327_191123_MSFT_baseline_lstm_w20_d0p4/best_model.pt,_local/runs/grid_search_runs/20260327_191123_MSFT_baseline_lstm_w20_d0p4
2026-03-27T19:19:38,MSFT,baseline,lstm,20,128,0.0005,0.0,500,20,42,273,293,48.58607019696917,6.93866491317749,5.375965118408203,1.8271682262420652,12279.68948703342,108.54835510253906,96.6215362548828,21.234251022338867,1948,216,548,"[20, 5]",cuda:0,_local/runs/grid_search_runs/20260327_191838_MSFT_baseline_lstm_w20_d0p0/best_model.pt,_local/runs/grid_search_runs/20260327_191838_MSFT_baseline_lstm_w20_d0p0
2026-03-27T19:20:47,MSFT,baseline,lstm,20,128,0.0005,0.2,500,20,42,328,348,46.61993626185826,6.812952041625977,5.377197265625,1.8171366453170776,10306.767923990885,99.2646713256836,88.37129211425781,19.418672561645508,1948,216,548,"[20, 5]",cuda:0,_local/runs/grid_search_runs/20260327_191938_MSFT_baseline_lstm_w20_d0p2/best_model.pt,_local/runs/grid_search_runs/20260327_191938_MSFT_baseline_lstm_w20_d0p2
